2022-03-02 20:03:03,327 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "000F00C30000985F000000100000030000000000FF010000414141414141414141414100FF01"}
2022-03-02 20:03:03,695 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "000400010000040600000000FF41057C210000000000744E575F47616D6553657474696E67004141414141414141414141414141000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0000000000000000000000000000000001000000FFFFFFFFFFFFFFFF2800000000000000000000000101010101010001010000010101001403FF00000001000101000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF00C0A844000080BF000080BF000080BF000080BF000080BF000080BF000080BF0000AF43000080BF000080BF000080BF000080BF000080BF000080BF000080BF"}
2022-03-02 20:03:03,695 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "0210010000000100000000000000000000000000000000303741313131423037394345344444410000000000000000000000414141414141414141414141414100414141414141414141414141417E3200303238303030300000"}
2022-03-02 20:03:04,947 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "0003010100000506000000000000000000000000000000"}
2022-03-02 20:03:04,948 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "0003010100000500000000000000000000000000000000"}
2022-03-02 20:03:05,005 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": -1, "data": "0003010100000506000000000000000000000000000000"}
2022-03-02 20:03:38,477 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "000111CE210000010000"}
2022-03-02 20:03:38,530 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "00180200000000000000C00002643119000049144291C476000001000000001002004914429100006B8F99EC1BAF06D2674284B5305EE6E38B1DE7331F2FBF31DE497228B7C52162F18DAE8913C40C43C0E890D14EEE16AD07C64FD9281D8B972D78BE78D1B290CE001605000300010000000100000000000000"}
2022-03-02 20:03:38,808 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "00180200000001000000C00002641819000049144291E4D7000001000000001002014914429100006B8F99EC1BAF06D2674284B5305EE6E38B1DE7331F2FBF31DE497228B7C52162F18DAE8913C40C43C0E890D14EEE16AD07C64FD9281D8B972D78BE78D1B290CE001603010300000000000000000000000000"}
2022-03-02 20:03:41,218 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 0, "dst": 1, "data": "00160500030001008044010000000000000000095FCF210003000000001702000000000400010000046E000000000000057C210000000000744E575F47616D6553657474696E67004141414141414141414141414141000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0000FFFFFFFFFFFFFFFFFFFFFFFFFFFF0600000000000000000000000000000001000000FFFFFFFFFFFFFFFF2800000000000000000000000101010101010001010000010101001403FF00000001000101000000FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF00C0A844000080BF000080BF000080BF000080BF000080BF000080BF000080BF0000AF43000080BF000080BF000080BF000080BF000080BF000080BF000080BF"}
2022-03-02 20:03:41,503 blarg | DEBUG | {"type": "udp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "000170CF210000010000"}
2022-03-02 20:03:41,503 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "001604010300000000000000000000000000"}
2022-03-02 20:03:41,503 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": -1, "data": "000F0100000000000000000003000300000000001A0000004343434343434343434343000300000F0100000000000000001003000300000000001A0000004343434343434343434343000000"}
2022-03-02 20:03:41,504 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "001604010300000000000200000000000000021300000000"}
2022-03-02 20:03:41,504 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": -1, "data": "02100100000050C3000000C0A84400C0A84400C0A84400C0A8440000AF430000AF430000AF430000AF430000000000000000434343434343434343434343434300364343434343434343434343437E3200000000000000000000"}
2022-03-02 20:03:41,504 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000"}
2022-03-02 20:03:41,504 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
2022-03-02 20:03:41,520 blarg | DEBUG | {"type": "tcp", "dme_world_id": 177, "src": 1, "dst": 0, "data": "021300000000021300000000"}
