2024-04-28 09:31:51,687 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 177|49008
2024-04-28 09:31:53,619 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 176|49007
2024-04-28 09:31:54,830 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 176|49007
2024-04-28 09:31:55,686 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 176|49006
2024-04-28 09:31:56,420 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 175|49005
2024-04-28 09:31:57,091 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 175|49005
2024-04-28 09:31:57,786 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 175|49004
2024-04-28 09:31:58,575 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 175|49002
2024-04-28 09:32:00,243 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 173|48999
2024-04-28 09:32:01,970 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 172|48996
2024-04-28 09:32:03,232 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 170|48989
2024-04-28 09:32:05,229 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 169|48987
2024-04-28 09:32:06,257 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 168|48985
2024-04-28 09:32:07,565 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 167|48981
2024-04-28 09:32:08,554 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 167|48979
2024-04-28 09:32:09,498 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 165|48973
2024-04-28 09:32:10,840 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 164|48969
2024-04-28 09:32:11,841 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 162|48963
2024-04-28 09:32:12,770 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 161|48958
2024-04-28 09:32:13,769 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 161|48956
2024-04-28 09:32:14,786 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 161|48956
2024-04-28 09:32:15,649 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 160|48953
2024-04-28 09:32:33,614 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 160|48953
2024-04-28 09:34:37,568 blarg | INFO | 0 -> -1 | DEBUGGING ANGLES 156|48936
